Disease_Name,Symptom_List
Echinococcosis,"['CoughÂ\xa0(lung cyst) ', ' Chest painÂ\xa0(lung cyst) ', ' Increase in size of the abdomen due to swelling (liver cyst) ', ' Severe allergic reaction (anaphylaxis) when cysts break open ', ' Bloody sputumÂ\xa0(lung cyst) ', ' Pain in the upper right part of the abdomen (liver cyst)']"
ECHO virus,"['Skin rashes ', ' Sore throat ', ' Severe headache, mental status changes, fever and chills, nausea and vomiting, sensitivity to light, if the infection affects the membranes covering the brain and spinal cord (meningitis) ', ' CroupÂ\xa0(breathing difficulty and harsh cough) ', ' Chest pain if the infection affects the heart muscle or sac-like covering around the heart (pericarditis) ', ' Mouth sores']"
Eclampsia,"['Headaches ', ' Severe agitation ', ' Nausea and vomiting ', ' Stomach pain ', ' Vision problems, such as loss of vision, blurred vision, double vision, or missing areas in the visual field ', ' Swelling of the hands and face ', ' Seizures ', ' Unconsciousness']"
Ectodermal dysplasias,"['Large forehead ', ' Abnormal nails ', ' Abnormal or missing teeth, or fewer than normal number of teeth ', ' Low nasal bridge ', ' Poor vision with decreased tear production ', ' Learning disabilities ', ' Thin, sparse hair ', ' Cleft lip ', ' Weakened immune system ', ' Decreased skin color (pigment) ', ' Poor hearing']"
Ectopic Cushing syndrome,"['Increased thirst and urination ', ' Headache ', ' Backache, which occurs with routine activities ', ' Excess hair growth on the face, neck, chest, abdomen, and thighs ', ' Slow growth rate in children ', ' High cholesterol and triglycerides ', ' Mental changes, such as depression, anxiety, or changes in behavior ', ' Weak muscles, especially of the hips and shoulders ', ' Type 2 diabetes mellitus ', ' High blood pressure ', ' Periods that become irregular or stop ', ' Thin skin with easy bruising ', ' Decreased or no desire for sex ', ' Thick, purple stretch marks (1/2 inch or 1 centimeter or more wide) called striae on the skin of the abdomen, thighs, upper arms, and breasts ', ' Rib and spine fractures caused by thinning of the bones ', ' Round, red, and full face (moon face) ', ' Bone pain or tenderness ', ' Collection of fat between the shoulders and above the collar bone ', ' Skin infections ', ' Weight gain with fat accumulation on the trunk, but fat loss from the arms, legs, and buttocks (central obesity) ', ' Fatigue ', ' Impotence']"
Ectopic heartbeat,"['Feeling your heartbeat (palpitations) ', ' Feeling of occasional, forceful beats ', ' Feeling like your heart stopped or skipped a beat']"
Ectopic pregnancy,"['Fainting or feeling faint ', ' No periods ', ' Pain in the lower belly or pelvic area ', ' Severe, sharp, and sudden pain in the lower abdomen ', ' Low blood pressure ', ' Pain in the shoulder area ', ' Intense pressure in the rectum ', ' Mild cramping on one side of the pelvis']"
Ectropion,"['Excess tearing of the eye (epiphora) ', ' Keratitis ', ' Dry, painful eyes ', ' Eyelid turns outward (downward) ', ' Redness of the lid and white part of the eye ', ' Long-term (chronic) conjunctivitis']"
Ehlers-Danlos syndrome,"['Increased joint mobility, joints popping, early arthritis ', ' Joint dislocation ', ' Easy scarring and poor wound healing ', ' Double-jointedness ', ' Back pain ', ' Easily damaged, bruised, and stretchy skin ', ' Vision problems ', ' Flat feet ', ' Joint pain ', ' Very soft and velvety skin']"
Ehrlichiosis,"['Fever and chills ', ' Fine pinhead-sized areas of bleeding into the skin (petechial rash) ', ' Flat red rash (maculopapular rash), which is uncommon ', ' Headache ', ' Diarrhea ', ' Muscle aches ', ' General ill feeling (malaise) ', ' Nausea']"
Eisenmenger syndrome,"['Swelling in the joints caused by too much uric acid (gout) ', ' Chest pain ', ' Shortness of breath ', ' Dizziness ', ' Skipped heartbeats (palpitations) ', ' Bluish lips, fingers, toes, and skin (cyanosis) ', ' Fainting ', ' Rounded fingernails and toenails (clubbing) ', ' Numbness and tingling of fingers and toes ', ' Coughing up blood ', ' Feeling tired']"
Electrical injury,"['Breathing problems or lung failure ', ' Heart attack (chest, arm, neck, jaw, or back pain) ', ' Type and strength of voltage ', ' Headache ', ' How long you were in contact with the electricity ', ' Broken bones ', ' Your overall health ', ' Muscle spasms and pain ', ' Problems with swallowing, vision, or hearing ', ' Numbness or tingling ', ' Changes in alertness (consciousness) ', ' How the electricity moved through your body ', ' Skin burns ', ' Seizures ', ' Irregular heartbeat']"
Elephant ear poisoning,"['Increased saliva production ', ' Burning in mouth and throat ', ' Redness, pain, and burning of the eyes ', ' Hoarse voice ', ' Swelling of the tongue, mouth, and eyes ', ' Nausea and vomiting ', ' Pain when swallowing ', ' Blisters in the mouth ', ' Diarrhea']"
Ellis-van Creveld syndrome,"['Tooth abnormalities, such as peg teeth, widely-spaced teeth ', ' Teeth present at birth (natal teeth) ', ' Epispadias or undescended testicle (cryptorchidism) ', ' Delayed or missing teeth ', ' Short height, between 3.5Â\xa0to 5 feet (1Â\xa0to 1.5 meters) tall ', ' Nail problems, including missing or deformed nails ', ' Limited range of motion ', ' Extra fingers (polydactyly) ', ' Short arms and legs, especially forearm and lower leg ', ' Sparse, absent, or fine textured hair ', ' Cleft lip or palate']"
Empty sella syndrome,"['Nipple discharge ', ' Decreased orÂ\xa0no desire for sex (low libido) ', ' Headaches ', ' Fatigue, low energy ', ' Irregular or absent menstruation ', ' Erection problems']"
Empyema,"['Fever and chills ', ' Dry cough ', ' Chest pain, which worsens when you breathe in deeply (pleurisy) ', ' Shortness of breath ', ' Weight loss (unintentional) ', ' General discomfort, uneasiness, or ill feeling (malaise) ', ' Excessive sweating, especially night sweats']"
Encephalitis,"['Light sensitivity ', ' Fever that is not very high ', ' Low energy and a poor appetite ', ' Clumsiness, unsteady gait ', ' Irritability and crying more often (these symptoms may get worse when the baby is picked up) ', ' Sudden change in mental functions, such as flat mood, impaired judgment, memory loss, or a lack of interest in daily activities ', ' Stiff neck and back (sometimes) ', ' Muscle weakness or paralysis ', ' Mild headache ', ' Irritability or poor temper control ', ' Drowsiness ', ' Seizures ', ' Vomiting ', ' Soft spot on the top of the head may bulge out more ', ' Poor feeding ', ' Severe headache ', ' Body stiffness ', ' Confusion, disorientation ', ' Loss of consciousness, poor responsiveness, stupor, coma']"
Encopresis,"['Being unable to hold stool before getting to a toilet (bowel incontinence) ', ' Refusal to sit on toilet ', ' Loss of appetite ', ' Passing a very large stool sometimes that almost blocks the toilet ', ' Bloating sensation or pain in the abdomen ', ' Having constipation and hard stools ', "" Passing stool in inappropriate places (as in the child's clothes) "", ' Urine retention ', ' Keeping bowel movements a secret ', ' Refusal to take medicines']"
End-stage kidney disease,"['Problems with sexual function ', ' General ill feeling and fatigue ', ' Breath odor ', ' Headache ', ' Vomiting, often in the morning ', ' Drowsiness and confusion ', ' Nail changes ', ' Frequent hiccups ', ' Sleep problems ', ' Itching (pruritus) and dry skin ', ' Muscle twitching or cramps ', ' Easy bruising, nosebleeds, or blood in the stool ', ' Loss of appetite ', ' Excessive thirst ', ' Weight loss without trying ', ' Abnormally dark or light skin ', ' Nausea ', ' Numbness in the hands, feet, or other areas ', ' Swelling of the feet and hands (edema) ', ' Bone pain ', ' Problems concentrating or thinking ', ' Menstrual periods stop (amenorrhea)']"
Endocardial cushion defect,"['Frequent pneumonia\r\nor infectionsÂ ', ' Baby tires easily ', ' Trouble breathing, especially during feeding ', ' Rapid heartbeat ', ' Pale skin (pallor) ', ' Rapid breathing ', ' Bluish skin color, also known as cyanosis (the lips may also be blue) ', ' Sweating ', ' Swollen legs or abdomen (rare in children) ', ' Failure to gain weight and grow ', ' Feeding difficulties']"
Endocarditis,"['Red, painless skin spots on the palms and soles (Janeway lesions) ', ' Shortness of breath with activity ', ' Come and go, or be more noticeable at nighttime ', ' Small areas of bleeding under the nails (splinter hemorrhages) ', ' Red, painful nodes in the pads of the fingers and toes (Osler nodes) ', ' Swelling of feet, legs, abdomen ', ' Be present for days before any other symptoms appear']"
Endocarditis - children,"['Red, painless skin spots on the palms and soles (Janeway lesions) ', ' Come and go, or be more noticeable at nighttime ', ' Loss of appetite ', ' Muscle pain ', ' Shortness of breath ', ' Tiredness ', ' Weight loss ', ' Red, painful nodes in the pads of the fingers and toes (Osler nodes) ', ' Swelling of feet, legs, abdomen ', ' Small bleeding areas under the nails (splinter hemorrhages) ', ' Be present for days before any other symptoms appear ', ' Joint pain ', ' Trouble breathing']"
Endometrial cancer,"['Abnormal bleeding from the vagina, including bleeding between periods or spotting/bleeding after menopause ', ' Lower abdominal pain or pelvic cramping ', ' Extremely long, heavy, or frequent episodes of vaginal bleeding after age 40']"
Endometrial polyps,['Trouble getting or staying pregnant (infertility)']
Endometriosis,"['Infertility (difficulty getting or staying pregnant) ', ' Painful periods -- Cramps or pain in your lower belly may begin a week or two before your period. Cramps may be steady and range from dull to severe. ', ' Heavy menstrual bleeding or bleeding between periods ', ' Pain with urination. ', ' Long-term pelvic or low back pain that may occur at any time and last for 6 months or more. ', ' Pain during or after sexual intercourse. ', ' Pain with bowel movements.']"
Endometritis,"['Abnormal vaginal bleeding or discharge ', ' Discomfort with bowel movement (including constipation) ', ' Pain in lower abdomen or pelvic region (uterine pain) ', ' Swelling of the abdomen ', ' General discomfort, uneasiness, or ill feeling ', ' Fever']"
Endophthalmitis,"['Decreased vision ', ' Pain ', ' Redness ', ' Swelling of the eyelids']"
Enlarged adenoids,"['Be restless while sleeping ', ' Dry mouth ', ' Snore a lot ', ' Persistent runny nose or nasal congestion ', ' Bad breath ', ' Have episodes of not breathing during sleep (sleep apnea) ', ' Cracked lips']"
Enlarged prostate,"['Incomplete emptying of your bladder ', ' Straining to urinate ', ' Weak urine stream ', ' Strong and sudden urge to urinate ', ' Slowed or delayed start of the urinary stream ', ' Needing to urinate 2 or more times per night ', ' Dribbling at the end of urinating ', ' Inability to urinate (urinary retention) ', ' Pain with urination or bloody urine (these may indicate infection)']"
Enteritis,"['Vomiting ', ' Loss of appetite ', ' Blood in the stool ', ' Diarrhea -- acute and severe ', ' Abdominal pain']"
Enterovirus D68,"['Difficulty Breathing ', ' Cough ', ' Wheezing ', ' Body and muscle aches ', ' Fever ', ' Sneezing ', ' Runny nose']"
Entropion,"['Decreased vision if the cornea is damaged ', ' Eye discomfort or pain ', ' Eye irritation ', ' Excessive tearing ', ' Redness']"
Eosinophilic esophagitis,"['Chest pain ', ' Food getting stuck when swallowing (dysphagia) ', ' Heartburn ', ' Vomiting ', ' Problems swallowing ', ' Poor weight gain or weight loss, poor growth, and malnutrition ', ' Backflow of undigested food (regurgitation) ', ' Food getting stuck in the esophagus ', ' Reflux in the esophagus that does not get better with medicine ', ' Upper abdominal pain ', ' Problems feeding or eating ', ' Abdominal pain']"
Eosinophilic fasciitis,"['Arthritis ', ' Tenderness and swelling of the skin on the arms, legs, or sometimes the joints (most often on both sides of the body) ', ' Muscle pain ', ' Carpal tunnel syndrome ', ' Thickened skin that looks puckered']"
Epidermoid cyst,"['Skin redness ', ' Grayish-white, cheesy, foul-smelling material that drains from the cyst ', ' Tender or sore skin ', ' Warm skin in the affected area']"
Epidermolysis bullosa,"['Mitten-like hands or feet ', ' Hoarse cry, cough, or other breathing problems ', ' Blistering that is present at birth ', ' Muscle, heart, brain, gastrointestinal, bone, or kidney issues ', ' Thickening of skin on hands and feet ', ' Blisters around the eyes and nose ', ' Alopecia (hair loss) ', ' Tiny white bumps on previously injured skin ', ' Blisters in or around the mouth and throat, causing feeding problems or swallowing difficulty ', ' Blisters on the skin as a result of minor injury or temperature change, especially of the feet ', ' Nail loss or deformed nails ', ' Dental problems, such as tooth decay']"
Epididymitis,"['Lump near the testicle ', ' Pain or burning during urination ', ' Blood in the semen ', ' Painful scrotal swelling (epididymis is enlarged) ', ' Chills ', ' Discomfort in the lower abdomen or pelvis ', ' Discharge from the urethra (the opening at the end of the penis) ', ' Tender, swollen, and painful groin area on affected side ', ' Low fever ', ' Feeling of heaviness in the testicle area ', ' Pain during ejaculation ', ' Testicle pain that gets worse during a bowel movement']"
